timestamp,year,month,pagecounts_all_views,pagecounts_desktop_views,pagecounts_mobile_views,pageviews_all_views,pageviews_desktop_views,pageviews_mobile_views
20140401,2014,04,0.0,7216245221.0,0.0,0.0,0.0,0.0
20140501,2014,05,0.0,7543277646.0,0.0,0.0,0.0,0.0
20140601,2014,06,0.0,6577352648.0,0.0,0.0,0.0,0.0
20140701,2014,07,0.0,6761059566.0,0.0,0.0,0.0,0.0
20140801,2014,08,0.0,6687313714.0,0.0,0.0,0.0,0.0
20140901,2014,09,0.0,7564600999.0,0.0,0.0,0.0,0.0
20141001,2014,10,9669079813.0,6577533128.0,3091546685.0,0.0,0.0,0.0
20141101,2014,11,9181027274.0,6153537606.0,3027489668.0,0.0,0.0,0.0
20141201,2014,12,9109282269.0,5830332248.0,3278950021.0,0.0,0.0,0.0
20150101,2015,01,9589069146.0,6103767055.0,3485302091.0,0.0,0.0,0.0
20150201,2015,02,8694244918.0,5602710439.0,3091534479.0,0.0,0.0,0.0
20150301,2015,03,9677435301.0,6346602713.0,3330832588.0,0.0,0.0,0.0
20150401,2015,04,9421035574.0,6198945657.0,3222089917.0,0.0,0.0,0.0
20150501,2015,05,9657871297.0,6323801814.0,3334069483.0,0.0,0.0,0.0
20150601,2015,06,8203576103.0,5165413640.0,3038162463.0,0.0,0.0,0.0
20150701,2015,07,8483698717.0,5229226022.0,3254472695.0,7665421980.0,4376666686.0,3288755294.0
20150801,2015,08,8304022031.0,5035534449.0,3268487582.0,7634815221.0,4332482183.0,3302333038.0
20150901,2015,09,8582061182.0,5409631355.0,3172429827.0,7655695037.0,4485491704.0,3170203333.0
20151001,2015,10,8781786976.0,5535704471.0,3246082505.0,7746031887.0,4477532755.0,3268499132.0
20151101,2015,11,8515190628.0,5296956116.0,3218234512.0,7524321290.0,4287720220.0,3236601070.0
20151201,2015,12,8651858036.0,5264446173.0,3387411863.0,7476287344.0,4100012037.0,3376275307.0
20160101,2016,01,9309261244.0,5569632502.0,3739628742.0,8154016303.0,4436179457.0,3717836846.0
20160201,2016,02,8680940753.0,5347709361.0,3333231392.0,7585859457.0,4250997185.0,3334862272.0
20160301,2016,03,8827529692.0,5407676056.0,3419853636.0,7673274617.0,4286590426.0,3386684191.0
20160401,2016,04,8873620523.0,5572235399.0,3301385124.0,7408147859.0,4149383857.0,3258764002.0
20160501,2016,05,8748968139.0,5330532334.0,3418435805.0,7586811330.0,4191778094.0,3395033236.0
20160601,2016,06,8347710510.0,4975092447.0,3372618063.0,7243630656.0,3888839711.0,3354790945.0
20160701,2016,07,8864627560.0,5363966439.0,3500661121.0,7834439589.0,4337865827.0,3496573762.0
20160801,2016,08,0.0,0.0,0.0,8210865519.0,4695046216.0,3515819303.0
20160901,2016,09,0.0,0.0,0.0,7528292279.0,4135006498.0,3393285781.0
20161001,2016,10,0.0,0.0,0.0,7871021581.0,4361737690.0,3509283891.0
20161101,2016,11,0.0,0.0,0.0,7983113161.0,4392068236.0,3591044925.0
20161201,2016,12,0.0,0.0,0.0,7986152433.0,4209608578.0,3776543855.0
20170101,2017,01,0.0,0.0,0.0,8753941940.0,4521980398.0,4231961542.0
20170201,2017,02,0.0,0.0,0.0,7738463562.0,4026702163.0,3711761399.0
20170301,2017,03,0.0,0.0,0.0,8223465891.0,4319971902.0,3903493989.0
20170401,2017,04,0.0,0.0,0.0,7591080111.0,3951456992.0,3639623119.0
20170501,2017,05,0.0,0.0,0.0,7874558299.0,4187870579.0,3686687720.0
20170601,2017,06,0.0,0.0,0.0,7123934190.0,3604550997.0,3519383193.0
20170701,2017,07,0.0,0.0,0.0,7290503797.0,3565444544.0,3725059253.0
20170801,2017,08,0.0,0.0,0.0,7196978615.0,3575572313.0,3621406302.0
20170901,2017,09,0.0,0.0,0.0,7079052261.0,3547447892.0,3531604369.0
